,Department,Class,Credits,Requisites,Course Designation,Repeatable for Credit,Last Taught
5585,Management and Human Resources,M H R 775,1,M H R 705 or concurrent enrollment,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, for 4 number of completions",Fall 2023
5586,Management and Human Resources,M H R/E P D/GEN BUS  783,1,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5587,Management and Human Resources,M H R/E P D/GEN BUS  785,1,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Summer 2023
5588,Management and Human Resources,M H R 799,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2023
5589,Management and Human Resources,M H R 871,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
5590,Management and Human Resources,M H R 872,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2022
5591,Management and Human Resources,M H R 973,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
5592,Management and Human Resources,M H R 975,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5593,Management and Human Resources,M H R 976,2,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2023
5594,Management and Human Resources,M H R 977,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5595,Management and Human Resources,M H R 990,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5596,Management and Human Resources,M H R 999,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Summer 2023
5597,Marketing,MARKETNG 300,3,"(ECON 101, 111, or A A E 215) or declared in the Business Exchange program",,No,Fall 2023
5598,Marketing,MARKETNG 305,3,(Sophomore standing and MARKETNG 300) or declared in the Business Exchange program. Not open to students with credit for CNSR SCI 657.,,No,Fall 2023
5599,Marketing,MARKETNG 310,3,"Sophomore standing, MARKETNG 300 and (GEN BUS 303 or 306), or declared in the Business Exchange program",,No,Fall 2023
5600,Marketing,MARKETNG 335,3,(MARKETNG 300 and sophomore standing) or declared in the Business Exchange program,,No,Fall 2023
5601,Marketing,MARKETNG 355,3,(MARKETNG 300 and sophomore standing) or declared in the Business Exchange program,,No,Fall 2023
5602,Marketing,MARKETNG 365,1,(MARKETNG 300 and sophomore standing) or declared in the Business Exchange program,,"Yes, unlimited number of completions",Fall 2023
5603,Marketing,MARKETNG 375,3,MARKETING 300 or declared in undergraduate Business Exchange program,,No,Spring 2023
5604,Marketing,MARKETNG 399,1,Consent of instructor,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
5605,Marketing,MARKETNG 410,3,MARKETNG 300 or declared in the Business Exchange program,,No,Fall 2023
5606,Marketing,MARKETNG 415,3,MARKETING 300 or declared in undergraduate Business Exchange program,,No,Fall 2023
5607,Marketing,MARKETNG/INTL BUS  420,3,(MARKETNG 300 and sophomore standing) or declared in the Business Exchange program,,No,Fall 2023
5608,Marketing,MARKETNG/OTM  421,3,Sophomore standing and (MARKETNG 300 or OTM 300) or declared in undergraduate Business Exchange program,,No,Fall 2023
5609,Marketing,MARKETNG/OTM  422,3,"MARKETNG 300, OTM 300, and sophomore standing, or declared in undergraduate Business Exchange program",,No,Fall 2023
5610,Marketing,MARKETNG/OTM  423,3,Sophomore standing and (MARKETNG 300 or OTM 300) or declared in undergraduate Business Exchange program,,No,Fall 2023
5611,Marketing,MARKETNG 424,3,(MARKETNG 300 and sophomore standing) or declared in the Business Exchange program,,No,Fall 2023
5612,Marketing,MARKETNG 425,3,(MARKETNG 300 and sophomore standing) or declared in undergraduate Business Exchange program,,No,Fall 2023
5613,Marketing,MARKETNG 426,3,Sophomore standing or declared in the Business Exchange program,,No,Fall 2021
5614,Marketing,MARKETNG/OTM  427,3,"MARKETNG 300, OTM 300, and sophomore standing, or declared in undergraduate Business Exchange program",,No,Spring 2023
5615,Marketing,MARKETNG 430,3,(MARKETNG 300 and sophomore standing) or declared in the Business Exchange program,,No,Spring 2023
5616,Marketing,MARKETNG 437,3,"(MARKETNG 300, 305, and 310) or declared in the Business Exchange program",,No,Spring 2023
5617,Marketing,MARKETNG 445,3,"Sophomore standing, MARKETNG 300 and (GEN BUS 303 or 306), or declared in the Business Exchange program",,No,Spring 2023
5618,Marketing,MARKETNG 450,3,"Sophomore standing, MARKETNG 300, and 310. Not open to graduate students",,No,Spring 2023
5619,Marketing,MARKETNG 460,3,"Senior standing, MARKETNG 300, 305, and 310, or declared in the Business Exchange program",,No,Fall 2023
5620,Marketing,MARKETNG 700,2,Declared in a Master of Business Administration degree program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5621,Marketing,MARKETNG 705,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5622,Marketing,MARKETNG 710,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5623,Marketing,MARKETNG 715,2,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5624,Marketing,MARKETNG/OTM  722,2,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5625,Marketing,MARKETNG/OTM  724,3,Graduate/professional standing and (MARKETNG 300 and OTM 300) or (MARKETNG 700 and OTM 700),Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5626,Marketing,MARKETNG 725,2,"Graduate/professional standing and (MARKETNG 300, 700, OTM 300, or 700), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5627,Marketing,MARKETNG/OTM  726,3,"(MARKETNG 300 and OTM 300) or (MARKETNG 700 and OTM 700) and graduate/professional standing, or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
5628,Marketing,MARKETNG/OTM  727,3,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5629,Marketing,MARKETNG/OTM  728,3,Graduate Students Only,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5630,Marketing,MARKETNG 730,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5631,Marketing,MARKETNG 735,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
5632,Marketing,MARKETNG 737,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5633,Marketing,MARKETNG 745,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5634,Marketing,MARKETNG 755,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5635,Marketing,MARKETNG 760,2,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5636,Marketing,MARKETNG 765,1,Graduate standing and (MARKETNG 300 or 700),Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5637,Marketing,MARKETNG 770,2,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, for 2 number of completions",Spring 2022
5638,Marketing,MARKETNG 775,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5639,Marketing,MARKETNG/E P D/GEN BUS  782,1,Graduate/professional standing or declared in graduate Business Exchange program,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5640,Marketing,MARKETNG 799,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5641,Marketing,MARKETNG 805,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5642,Marketing,MARKETNG 815,2,"Graduate/professional standing and (MARKETNG 300, 700 or GEN BUS 311), or declared in graduate Business Exchange program",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5643,Marketing,MARKETNG 840,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, for 3 number of completions",Fall 2023
5644,Marketing,MARKETNG 971,1,Declared in Business PHD,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5645,Marketing,MARKETNG 972,1,Declared in Business PHD,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Spring 2023
5646,Marketing,MARKETNG 990,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5647,Marketing,MARKETNG 999,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Summer 2023
5648,Materials Science and Engineering,M S & E 1,1,Sophomore standing,Workplace - Workplace Experience Course,"Yes, unlimited number of completions",Fall 2023
5649,Materials Science and Engineering,M S & E 151,3,,Breadth - Physical Sci. Counts toward the Natural Sci req Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
5650,Materials Science and Engineering,M S & E 260,2,"(MATH 113, 114, or 171) and (CHEM 103, 109, or 115 or concurrent enrollment)",,No,Fall 2023
5651,Materials Science and Engineering,M S & E 299,1,Consent of instructor,,No,Fall 2023
5652,Materials Science and Engineering,M S & E 330,4,"MATH 222 or 276 and (CHEM 104, 109, or 115), or member of Engineering Guest Students",,No,Fall 2023
5653,Materials Science and Engineering,M S & E 331,3,"M S & E 330 and (MATH 319, 320, 376, or concurrent enrollment), or member of Engineering Guest Students",,No,Spring 2023
5654,Materials Science and Engineering,M S & E 332,3,"M S & E 350, 351, or CBE 440, or member of Engineering Guest Students",,No,Fall 2023
5655,Materials Science and Engineering,M S & E 333,3,"M S & E 350, 351, or CBE 440, or member of Engineering Guest Students",,"Yes, unlimited number of completions",Spring 2023
5656,Materials Science and Engineering,M S & E 350,3,"CHEM 103, 109, 115, graduate/professional standing, or member of Engineering Guest Students. Not open to students with credit in M S & E 351.",,No,Fall 2023
5657,Materials Science and Engineering,M S & E 351,3,"(MATH 222 or 276) and (CHEM 103, 109, or 115), or member of Engineering Guest Students. Students with credit for M S & E 350 may not enroll in M S & E 351.",,No,Fall 2023
5658,Materials Science and Engineering,M S & E 352,3,"M S & E 350, 351, or member of Engineering Guest Students",,No,Spring 2023
5659,Materials Science and Engineering,M S & E 360,2,"M S & E 350 or (M S & E 351 or concurrent enrollment) and declared in Materials Science and Engineering or Applied Mathematics, Engineering and Physics",,No,Fall 2023
5660,Materials Science and Engineering,M S & E 361,2,"Declared in Materials Science and Engineering or Applied Mathematics, Physics and Engineering) and M S & E 351 and 360",,No,Spring 2023
5661,Materials Science and Engineering,M S & E 362,3,M S & E 361,,No,Fall 2023
5662,Materials Science and Engineering,M S & E 401,1,"M S & E 350, 351, or graduate/professional standing",Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
5663,Materials Science and Engineering,M S & E/CHEM  421,3,"CHEM 341, 343, or member of Engineering Guest Students",Breadth - Physical Sci. Counts toward the Natural Sci req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5664,Materials Science and Engineering,M S & E/N E  423,3,"M S & E 350 or 351, graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2023
5665,Materials Science and Engineering,M S & E/N E  433,3,"M S & E 330, or graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2023
5666,Materials Science and Engineering,M S & E 434,3,"(M S & E 330 and 351), graduate/professional standing, or member of Engineering Guest Students",,No,Spring 2022
5667,Materials Science and Engineering,M S & E 441,3,M S & E 352 or graduate/professional standing,,No,Spring 2023
5668,Materials Science and Engineering,M S & E 448,3,"M S & E 350 or 351, graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2023
5669,Materials Science and Engineering,M S & E 451,3,"M S & E 352 and (M S & E 330 or concurrent enrollment), or graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2023
5670,Materials Science and Engineering,M S & E 456,3,"(M S & E 350 or 351) and (PHYSICS 202, 208, 248, or E C E/PHYSICS  235),  graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2023
5671,Materials Science and Engineering,M S & E 460,3,,,No,Spring 2023
5672,Materials Science and Engineering,M S & E 461,3,"M S & E 350 or 352, graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2023
5673,Materials Science and Engineering,M S & E/M E  462,3,,,No,Fall 2023
5674,Materials Science and Engineering,M S & E 463,3,"M S & E 352, graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2022
5675,Materials Science and Engineering,M S & E 465,3,"M S & E 352, graduate/professional standing, or member of Engineering Guest Students",,No,Fall 2023
5676,Materials Science and Engineering,M S & E 470,1,"Declared in Materials Science and Engineering, M S & E 352, 362, and (M S & E 331, 421, 441, 451, or 456)",,No,Fall 2023
5677,Materials Science and Engineering,M S & E 471,3,M S & E 470,,No,Spring 2023
5678,Materials Science and Engineering,M S & E/CIV ENGR/G L E/GEOSCI  474,3,"E M A 201, PHYSICS 201, 207, or 247, or graduate/professional standing, or member of Engineering Guest Students",Breadth - Physical Sci. Counts toward the Natural Sci req Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5679,Materials Science and Engineering,M S & E 521,3,"CHEM/M S & E  421, graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5680,Materials Science and Engineering,M S & E 530,3,"M S & E 330, or graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5681,Materials Science and Engineering,M S & E/E M A  541,3,"E M A 303, M E 306, or M S & E 441, graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
5682,Materials Science and Engineering,M S & E 550,3,"Graduate/professional standing. Not open to students with credit in M S & E 350, 351, or 352.",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5683,Materials Science and Engineering,M S & E 551,3,"M S & E 451, graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5684,Materials Science and Engineering,M S & E 553,3,"M S & E 350, 351, or CBE 440, graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5685,Materials Science and Engineering,M S & E 570,3,"PHYSICS 205, 241, 244, or (M S & E 351 and 333) or PHYSICS/E C E  235, graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2022
5686,Materials Science and Engineering,M S & E 648,3,"M S & E 448, graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2022
5687,Materials Science and Engineering,M S & E 660,3,"(MATH 319, 320, or 376) and (M S & E 350, 351, or CBE 440), graduate/professional standing, or member of Engineering Guest Students",Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5688,Materials Science and Engineering,M S & E 699,1,Consent of instructor,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5689,Materials Science and Engineering,M S & E 702,1,Consent of instructor,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Summer 2023
5690,Materials Science and Engineering,M S & E 748,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5691,Materials Science and Engineering,M S & E 752,3,(M S & E 530 or concurrent enrollment) and graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
5692,Materials Science and Engineering,M S & E 756,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5693,Materials Science and Engineering,M S & E 758,1,M S & E 748 or concurrent enrollment,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5694,Materials Science and Engineering,M S & E 760,3,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2021
5695,Materials Science and Engineering,M S & E 790,1,"Declared in Materials Science and Engineering M.S., Ph.D., or doctoral minor",Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5696,Materials Science and Engineering,M S & E 803,1,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5697,Materials Science and Engineering,M S & E 890,1,Declared in Materials Science and Engineering Ph.D. or doctoral minor.,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5698,Materials Science and Engineering,M S & E 900,1,Graduate/professional standing,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5699,Materials Science and Engineering,M S & E 990,1,Declared in Materials Science and Engineering Ph.D. or doctoral minor.,Grad 50% - Counts toward 50% graduate coursework requirement,"Yes, unlimited number of completions",Fall 2023
5700,Mathematics,MATH 96,3,Placement into MATH 96,,No,Fall 2023
5701,Mathematics,MATH 112,3,MATH 96 or placement into MATH 112. MATH 118 does not fulfill the requisite,Gen Ed - Quantitative Reasoning Part A Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5702,Mathematics,MATH 113,3,MATH 112 or placement into MATH 113,Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5703,Mathematics,MATH 114,5,MATH 96 or placement into MATH 114. MATH 118 does not fulfill the requisite,Gen Ed - Quantitative Reasoning Part A Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5704,Mathematics,MATH 118,2,Enrolled in the Summer Collegiate experience program,Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Summer 2023
5705,Mathematics,MATH 141,3,MATH 96 or placement into MATH 141. MATH 118 does not fulfill the requisite,Gen Ed - Quantitative Reasoning Part A Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5706,Mathematics,MATH 171,5,MATH 96 or placement into MATH 171. MATH 118 does not fulfill the requisite,Gen Ed - Quantitative Reasoning Part A Level - Elementary L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5707,Mathematics,MATH 211,5,MATH 112 or 114 or placement into MATH 211,Gen Ed - Quantitative Reasoning Part B Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5708,Mathematics,MATH 213,3,"MATH 211, 217, 221, or 275",Gen Ed - Quantitative Reasoning Part B Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5709,Mathematics,MATH 217,5,MATH 171,Gen Ed - Quantitative Reasoning Part B Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
5710,Mathematics,MATH 221,5,MATH 114 or (MATH 112 and 113) or placement into MATH 221. MATH 211 or MATH 213 does not fulfill the requisite.,Gen Ed - Quantitative Reasoning Part B Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5711,Mathematics,MATH 222,4,"MATH 217, 221, or 275. MATH 211 or 213 does not fulfill the requisite.",Gen Ed - Quantitative Reasoning Part B Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5712,Mathematics,MATH 228,2,Member of Wisconsin Emerging Scholars--MATH Program,Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
5713,Mathematics,MATH 234,4,MATH 222 or 276,Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5714,Mathematics,MATH/COMP SCI  240,3,"MATH 217, 221, or 275",Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5715,Mathematics,MATH 298,1,Consent of instructor,Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2023
5716,Mathematics,MATH/STAT  309,3,"MATH 234, 376, or concurrent enrollment. Not open to students with credit for STAT/MATH  431 or STAT 311",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5717,Mathematics,MATH/STAT  310,3,"(STAT/MATH  309, STAT 311, STAT/MATH  431, or MATH 531) and (STAT 240, STAT 301, STAT 302, STAT 324, STAT 371, or ECON 310), or graduate/professional standing",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5718,Mathematics,MATH 319,3,"MATH 222, 276 or graduate/professional standing",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5719,Mathematics,MATH 320,3,"MATH 222, 276 or graduate/professional standing",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5720,Mathematics,MATH 321,3,"MATH 376, (MATH 234 and 319), (MATH 234 and 320), (MATH 234 and 340), (MATH 234 and 341), (MATH 234 and 375), or graduate/professional standing",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5721,Mathematics,MATH 322,3,MATH 321 or 376 or graduate/professional standing,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5722,Mathematics,MATH 340,3,MATH 222,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5723,Mathematics,MATH 341,3,MATH 234,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&SHonors - Accelerated Honors (!),No,Fall 2023
5724,Mathematics,MATH 375,5,Consent of Instructor,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5725,Mathematics,MATH 376,5,MATH 375,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
5726,Mathematics,MATH 390,3,Consent of instructor,Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Fall 2023
5727,Mathematics,MATH 415,3,"MATH 376, (MATH 234 and 319), (MATH 234 and 320), (MATH 234 and 340), (MATH 234 and 341) or (MATH 234 and 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) program",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5728,Mathematics,MATH 421,3,MATH 234 or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5729,Mathematics,MATH/COMP SCI/I SY E  425,3,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program",Breadth - Physical Sci. Counts toward the Natural Sci req Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5730,Mathematics,MATH/STAT  431,3,MATH 234 or 376 or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5731,Mathematics,MATH/COMP SCI/E C E  435,3,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program",Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5732,Mathematics,MATH 443,3,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5733,Mathematics,MATH 444,3,"(MATH 320, 340, 341, or 375) and (COMP SCI 200, 220, 300, 310, 320, or placement in COMP SCI 300), graduate/professional standing, or declared in Mathematics VISP (undergraduate or graduate)",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Fall 2023
5734,Mathematics,MATH 461,3,MATH 234 or (MATH 222 and COMP SCI/MATH  240) or MATH 375 or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International)  Program,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
5735,Mathematics,MATH 467,3,"MATH 234, 375, (MATH 222 and COMP SCI/MATH  240), (MATH 222 and 320), or (MATH 222 and 340)",Breadth - Natural Science Level - Intermediate L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5736,Mathematics,MATH/CURRIC  471,3,"(MATH 341, 375, or 421) and (MATH 461 or concurrent enrollment)",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
5737,Mathematics,MATH/HIST SCI  473,3,Consent of instructor,Breadth - Either Humanities or Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Spring 2023
5738,Mathematics,MATH/COMP SCI/STAT  475,3,"(MATH 320, 340, 341, or 375) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,No,Fall 2023
5739,Mathematics,MATH 490,1,Consent of instructor,Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S,"Yes, unlimited number of completions",Spring 2023
5740,Mathematics,MATH/COMP SCI  513,3,"(MATH 340, 341, or 375) and (COMP SCI 200, 300, 301, 302, 310, or placement into COMP SCI 300) or graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) program",Breadth - Natural Science Level - Advanced L&S Credit - Counts as Liberal Arts and Science credit in L&S Grad 50% - Counts toward 50% graduate coursework requirement,No,Spring 2023
